No,Tense,Deskripsi,Rumus,Contoh Kalimat Sederhana,Contoh Kalimat Kompleks,Tips Penggunaan,Kesalahan Umum
1,Simple Present Tense,"Menyatakan fakta umum, kebiasaan, rutinitas, dan kebenaran yang selalu atau sering terjadi. Juga digunakan untuk jadwal yang sudah tetap (seperti jam kereta, kelas, atau acara resmi).","S + V1 (s/es untuk He/She/It)","She reads books every day.","He usually drinks a cup of coffee and checks his email before he starts working at the office every morning.","Gunakan untuk rutinitas harian, kebiasaan, fakta ilmiah, dan jadwal tetap (The train leaves at 7 a.m.). Perhatikan penambahan -s/-es pada verb ketika subjeknya He/She/It.","1) Lupa menambahkan -s/-es pada verb untuk He/She/It (She read every day → She reads every day). 2) Menggunakan Simple Present untuk aksi yang sedang terjadi sekarang yang seharusnya Present Continuous (I eat now → I am eating now)."
2,Present Continuous Tense,"Menyatakan aksi yang sedang berlangsung saat berbicara atau situasi sementara yang terjadi di sekitar waktu sekarang. Juga bisa dipakai untuk rencana dekat yang sudah cukup pasti.","S + am/is/are + V-ing","I am working now.","She is currently preparing the presentation in her room while her colleagues are discussing the main points in the meeting room.","Gunakan untuk aksi yang benar-benar sedang terjadi sekarang (right now) atau untuk menggambarkan situasi sementara (for a short period). Bisa juga untuk rencana sudah terjadwal: I am meeting my client tomorrow.","1) Menggunakan V-ing tanpa am/is/are (I working → I am working). 2) Menggunakan Present Continuous untuk kebiasaan umum yang seharusnya Simple Present (I am going to school every day → I go to school every day)."
3,Present Perfect Tense,"Menyatakan aksi yang dimulai di masa lalu dan masih relevan sampai sekarang, pengalaman hidup tanpa menyebut waktu spesifik, atau aksi yang baru saja selesai. Fokus pada hasil/relasi dengan saat ini, bukan pada kapan persis terjadinya.","S + have/has + V3 (Past Participle)","They have finished the task.","I have visited several countries in Southeast Asia, but I have never felt as inspired as I did when I spent a week in a small village in Vietnam.","Gunakan untuk pengalaman (I have been to Japan), perubahan (My English has improved), dan aksi yang berpengaruh pada kondisi sekarang. Hindari menyebut waktu lampau yang spesifik (yesterday, last year) dalam kalimat ini.","1) Menambahkan waktu spesifik masa lalu (I have eaten yesterday → I ate yesterday). 2) Menggunakan have/has diikuti V2 bukan V3 (She has went → She has gone)."
4,Present Perfect Continuous Tense,"Menyatakan aksi yang dimulai di masa lalu, masih berlangsung sampai sekarang (atau baru saja selesai), dan menekankan durasi lamanya. Biasanya memakai for (selama) atau since (sejak).","S + have/has + been + V-ing","He has been waiting for an hour.","She has been working on her thesis all night, so now she feels extremely exhausted and can barely keep her eyes open during the morning lecture.","Gunakan ketika ingin menekankan bahwa aktivitas sudah berlangsung untuk jangka waktu tertentu dan masih berhubungan dengan sekarang (I have been studying English for five years).","1) Menggunakan tense ini untuk non-action verbs yang biasanya tidak dipakai dalam bentuk continuous (know, like, love). 2) Salah urutan: has been been working atau has working tanpa been."
5,Simple Past Tense,"Menyatakan aksi yang terjadi dan selesai pada waktu tertentu di masa lalu. Fokus pada kapan sesuatu terjadi (waktu lampau yang jelas).","S + V2 (Past Form)","We went to Jakarta yesterday.","After I finished my presentation, I felt so relieved that I treated myself to a nice dinner at my favorite restaurant.","Gunakan ketika waktu kejadian sudah jelas (yesterday, last week, in 2020, two days ago) atau tersirat dari konteks cerita masa lalu.","1) Tetap memakai V1 (She go home yesterday → She went home). 2) Mencampur Simple Past dengan Present Perfect di kalimat yang sama tanpa alasan yang jelas."
6,Past Continuous Tense,"Menyatakan aksi yang sedang berlangsung pada waktu tertentu di masa lalu, sering kali terpotong atau diganggu oleh aksi lain (biasanya Simple Past). Digunakan sebagai latar belakang cerita.","S + was/were + V-ing","She was singing at 7 PM.","While they were discussing the project in the meeting room, the CEO suddenly walked in and announced a major change in the company’s direction.","Gunakan bersama while atau when untuk menggambarkan aksi yang sedang berlangsung ketika aksi lain terjadi. Cocok untuk menceritakan suasana atau latar kejadian.","1) Menggunakan Past Continuous untuk aksi tunggal yang sudah selesai tanpa konteks latar (Yesterday I was went to school). 2) Lupa menulis was/were sebelum V-ing (They talking → They were talking)."
7,Past Perfect Tense,"Menyatakan aksi yang sudah selesai sebelum aksi lain di masa lalu. Digunakan untuk menekankan urutan waktu: kejadian A (lebih lampau) selesai dulu, baru kejadian B (masa lalu biasa).","S + had + V3 (Past Participle)","I had eaten breakfast.","By the time we arrived at the station, the train had already left, so we had to wait for the next one.","Gunakan ketika kamu ingin memperjelas mana kejadian yang terjadi lebih dulu di masa lalu, terutama jika urutan waktunya penting dalam cerita.","1) Menggunakan Simple Past untuk kedua kejadian sehingga urutan waktunya membingungkan. 2) Menggunakan Past Perfect sendirian tanpa ada kejadian Simple Past lain sebagai acuan waktu."
8,Past Perfect Continuous Tense,"Menyatakan aksi yang telah berlangsung selama durasi tertentu sebelum aksi lain di masa lalu. Menunjukkan bahwa aktivitas tersebut sudah berjalan cukup lama sebelum kejadian lain terjadi.","S + had + been + V-ing","He had been sleeping for a while.","She had been working in the company for ten years when it finally went bankrupt and forced all employees to look for new jobs.","Gunakan saat ingin menekankan durasi sebelum kejadian lain di masa lalu (I had been studying for two hours before my friend arrived).","1) Salah urutan rumus: had been V3 atau had V-ing tanpa been. 2) Menggunakan tense ini padahal konteksnya tidak butuh penekanan durasi (cukup Past Perfect atau Simple Past)."
9,Simple Future Tense,"Menyatakan rencana, prediksi, janji, tawaran, atau keputusan spontan di masa depan. Bentuk will dan be going to kadang mirip, tapi nuansa maknanya berbeda.","S + will + V1 atau S + am/is/are + going to + V1","I will call you later.","I think the economy will improve next year, but many experts are going to warn governments to prepare stronger social protection policies.","Gunakan will untuk keputusan spontan, janji, atau prediksi umum (I will help you). Gunakan be going to untuk rencana yang sudah dipikirkan atau ketika ada bukti yang jelas (Look at those clouds, it is going to rain).","1) Menggunakan will diikuti V-s atau V-ing (He will goes → He will go). 2) Menggunakan be going to untuk hal yang sebenarnya bukan rencana (I am going to maybe go)."
10,Future Continuous Tense,"Menyatakan aksi yang akan sedang berlangsung pada waktu tertentu di masa depan. Biasanya digunakan untuk menggambarkan situasi yang sudah terjadwal atau diperkirakan terjadi di tengah-tengah sebuah periode waktu.","S + will + be + V-ing","We will be traveling tomorrow.","At this time next week, I will be flying to Singapore and preparing for an important presentation in front of international clients.","Gunakan saat ingin menunjukkan bahwa kamu akan berada di tengah-tengah sebuah aktivitas pada waktu tertentu di masa depan (Tomorrow at 9 p.m., I will be studying).","1) Lupa menambahkan be (I will working → I will be working). 2) Menggunakan Future Continuous untuk hal yang bukan proses, misalnya fakta umum yang cukup memakai Simple Future."
11,Future Perfect Tense,"Menyatakan aksi yang akan sudah selesai sebelum waktu atau kejadian tertentu di masa depan. Fokus pada titik akhir suatu aksi di masa depan.","S + will + have + V3","They will have arrived by Sunday.","By the end of this year, we will have completed all the modules for the new online learning platform.","Gunakan ketika ingin menekankan bahwa sesuatu akan selesai sebelum waktu tertentu (By next month, I will have graduated). Kata kunci umum: by, before.","1) Menggunakan has bukannya have setelah will (will has finished). 2) Lupa memakai V3 (will have finish → will have finished)."
12,Future Perfect Continuous Tense,"Menyatakan durasi aksi yang akan sudah berlangsung sampai suatu titik waktu di masa depan. Fokus pada berapa lama sesuatu berjalan sebelum waktu tertentu itu.","S + will + have + been + V-ing","I will have been learning for 3 years.","By the time she turns thirty, she will have been working as a software engineer for almost a decade.","Gunakan hanya jika durasi di masa depan benar-benar penting untuk ditekankan (I will have been studying for six hours by midnight). Biasanya muncul dalam konteks formal atau cerita yang sangat detail.","1) Menggunakan V1 atau V2 setelah will have been (will have been work → will have been working). 2) Menggunakan tens ini padahal cukup Future Perfect atau Simple Future."
13,Simple Past Future Tense,"Menyatakan rencana, prediksi, atau niat di masa depan tetapi dilihat dari sudut pandang masa lalu. Sering muncul dalam reported speech atau kalimat pengandaian (conditional).","S + would + V1 atau S + was/were going to + V1","He said he would resign.","At that time, I thought I would move to another city after graduation, but my plans completely changed when I received an unexpected job offer.","Gunakan untuk membicarakan masa depan dari sudut pandang masa lalu (He said he would call me). Bisa juga muncul di kalimat pengandaian (If I were rich, I would travel).","1) Menggunakan would diikuti to V1 (I would to go → I would go). 2) Mencampur would dengan waktu sekarang tanpa konteks pengandaian (Today I would go if I have time)."
14,Past Future Continuous Tense,"Menyatakan aksi yang tadinya diperkirakan atau direncanakan akan sedang terjadi pada waktu tertentu di masa lalu, sering dalam konteks spekulasi atau rencana yang berubah.","S + would + be + V-ing","They would be visiting the museum.","We thought they would be working on the final report throughout the night, but the deadline was suddenly extended, so they decided to rest.","Gunakan untuk menjelaskan apa yang menurut kita akan berlangsung pada waktu tertentu di masa lalu, biasanya dalam cerita atau reported thought (I thought I would be sleeping at that time).","1) Lupa menambahkan be (I thought I would working → I thought I would be working). 2) Menggunakan bentuk ini padahal tidak ada konteks masa lalu yang jelas."
15,Past Future Perfect Tense,"Menyatakan aksi yang tadinya diperkirakan atau diharapkan akan telah selesai sebelum waktu tertentu di masa lalu. Sering muncul dalam Conditional Sentence Tipe 3 dan reported speech kompleks.","S + would + have + V3","We would have attended the event.","If you had told me earlier, I would have finished the design before the client arrived at the office.","Gunakan untuk menunjukkan penyesalan atau situasi yang tidak terjadi di masa lalu (hypothetical past). Sangat umum dalam kalimat pengandaian tipe 3 (If + Past Perfect, would have V3).","1) Menggunakan V2 setelah would have (would have went → would have gone). 2) Menghilangkan have (would finished → would have finished)."
16,Past Future Perfect Continuous Tense,"Menyatakan aksi yang tadinya diperkirakan akan telah berlangsung selama durasi tertentu sebelum waktu tertentu di masa lalu. Sangat jarang dipakai dan biasanya muncul dalam kalimat formal atau fiksi kompleks.","S + would + have + been + V-ing","She would have been waiting for hours.","By the time the flight was canceled, he would have been traveling for more than twenty hours with almost no proper rest.","Gunakan hanya ketika benar-benar ingin menekankan durasi hipotesis di masa lalu (bukan kejadian nyata). Biasanya bisa diganti dengan bentuk lain yang lebih sederhana jika konteksnya tidak terlalu teknis.","1) Menggunakan bentuk selain V-ing setelah would have been (would have been work → would have been working). 2) Memakai tense ini untuk situasi sederhana sehingga kalimat terdengar terlalu rumit dan tidak natural."
