No,Modal_Verb,Deskripsi,Fungsi_Utama,Contoh_Kalimat_Sederhana,Contoh_Kalimat_Kompleks,Tips_Penggunaan,Kesalahan_Umum
1,Can,"Modal dasar untuk kemampuan fisik/mental, izin informal, dan kemungkinan umum.","Kemampuan; Izin Informal; Kemungkinan Umum","I can swim.","Because she understands the topic very well, she can explain the entire concept to the class in a way that even beginners can easily follow.","Gunakan can untuk kemampuan yang nyata (physical/mental) atau izin santai. Cocok digunakan dalam percakapan sehari-hari.","Mencampur can dengan to (He can to swim). Menggunakan can untuk kemampuan masa lalu yang seharusnya could."
2,Could,"Versi lampau dari can, tetapi juga modal untuk permintaan sopan, saran, dan kemungkinan rendah.","Kemampuan Masa Lalu; Permintaan Sopan; Saran; Kemungkinan Rendah","Could you help me?","If the team cooperated more efficiently and communicated clearly, they could finish the entire project before the deadline.","Gunakan untuk sounding lebih sopan dibanding can, dan untuk hypothetical ability di masa kini.","Menggunakan could tanpa subjek sopan (You could open the door now! → terlalu kasar). Salah konteks antara ability vs permission."
3,May,"Modal formal untuk izin sopan dan kemungkinan (probability medium). Umum pada konteks akademik.","Izin Formal; Kemungkinan Sedang","You may leave now.","Since the situation is stable, we may begin expanding the testing phase to additional regions by the end of the month.","Gunakan may ketika ingin lebih formal dan teratur; sering muncul di aturan, sekolah, kantor, dan akademik.","Menggunakan may untuk kemampuan (I may swim → salah makna). Menggunakan may dengan bentuk lampau padahal tidak ada bentuk past-nya."
4,Might,"Menunjukkan kemungkinan kecil/ketidakpastian tinggi. Lebih lemah dari may.","Kemungkinan Lemah; Spekulasi Tidak Pasti","I might be late.","Even though he prepared for weeks, he might still struggle with the exam because the topics are extraordinarily complex.","Gunakan ketika kamu tidak yakin atau menyampaikan prediksi yang sangat hati-hati.","Menyamakan might dengan present ability. Salah menempatkan might dalam kalimat fakta pasti."
5,Will,"Modal utama untuk masa depan, prediksi pasti, keputusan spontan, dan janji.","Future; Willingness; Promise; Strong Prediction","I will call you.","If the current trend continues, the company will become one of the leading innovators in the region within the next few years.","Gunakan will untuk janji, keputusan spontan (I’ll take it!), prediksi kuat.","Menggunakan will + V-ing atau will + V-s (He will goes). Penggunaan will untuk rencana pasti yang seharusnya be going to."
6,Would,"Versi lampau dari will tetapi sangat fleksibel: untuk permintaan sopan, conditional, dan kebiasaan masa lalu.","Permintaan Sopan; Kebiasaan Masa Lalu; Situasi Hipotetis","Would you pass the salt?","If I had more time and fewer responsibilities, I would seriously consider taking a year off to pursue advanced research abroad.","Gunakan dalam situasi hypothetical, atau ketika ingin lebih polite dari will.","Menggunakan would + to V (would to go). Salah memakai would dalam konteks waktu sekarang tanpa conditional."
7,Shall,"Modal formal untuk saran elegan atau pernyataan resmi. Lebih umum di English British.","Saran Formal; Kewajiban Resmi","Shall we go?","According to the revised agreement, the department shall submit all documentation to the board before the official review begins.","Pakai shall untuk sounding resmi / legal / akademik. ‘Shall we…?’ sangat sopan untuk menawarkan ide.","Menggunakan shall dalam percakapan kasual (terlalu formal). Menggunakan shall dengan subject non-resmi (You shall go now! → terdengar kuno/imperatif)."
8,Should,"Modal serbaguna untuk nasihat, kewajiban ringan, rekomendasi kuat, dan ekspektasi.","Advice; Obligation; Expectation","You should rest.","He should have arrived by now, unless there was a major delay due to the intense storm at the airport.","Gunakan untuk memberi saran yang kuat tetapi tidak memaksa. Gunakan should have untuk menyatakan penyesalan/ekspektasi masa lalu.","Membingungkan should vs have to. Menggunakan should untuk fakta wajib yang seharusnya must/have to."
9,Must,"Modal yang paling kuat untuk keharusan atau deduction logis (kepastian tinggi).","Keharusan; Deduction (99% certainty)","You must wear a helmet.","Based on the consistency of the experimental results, this must be the most reliable method we have discovered so far.","Gunakan must ketika aturan sangat kuat atau ketika menarik kesimpulan logis (You must be tired).","Menggunakan must untuk keharusan eksternal (yang lebih cocok have to). Menggunakan must tidak pada konteks logis."
10,Ought to,"Mirip dengan should tetapi lebih formal dan bernuansa moral/etis.","Nasihat Moral; Kewajiban Etis","You ought to study.","If the organization plans to grow sustainably, it ought to invest in human development and long-term community programs.","Gunakan ketika ingin menyampaikan ‘moral obligation’ atau nasihat berbobot.","Menghilangkan to (You ought study). Menggunakan ought to untuk izin (tidak cocok)."
11,Had better,"Nasihat kuat dengan ancaman konsekuensi jika tidak dilakukan. Lebih intens daripada should.","Strong Advice; Warning","We had better go.","You had better complete your application today, because if you miss the deadline, the system will automatically reject your submission.","Gunakan ketika ada konsekuensi jelas jika tidak mengikuti saran (You had better…).","Menggunakan had better tanpa had (You better go). Menggunakan untuk situasi formal yang seharusnya memakai should."
12,Have to / Has to,"Modal keharusan dari faktor eksternal seperti aturan, regulasi, hukum, atau tuntutan situasional.","Kewajiban Eksternal; Aturan","I have to work.","Because the final report is due tomorrow morning, he has to stay up late to finish all the documentation.","Gunakan untuk kewajiban eksternal (school rules, laws, company policy).","Menggunakan have tanpa to (I have finish). Mencampur must dengan have to tanpa memahami nuance."
13,Need to,"Modal yang menyatakan kebutuhan mendesak, tindakan penting, atau hal yang harus dilakukan untuk menyelesaikan suatu tujuan.","Kebutuhan; Tindakan Penting","You need to rest.","Before we begin the practical session, you need to check every tool carefully to avoid errors that could compromise the entire experiment.","Gunakan need to untuk kondisi kebutuhan yang rasional/logis, bukan kewajiban aturan.","Menggunakan need tanpa to (You need check). Menggunakan need to untuk hal formal yang lebih cocok have to."
14,Used to,"Modal untuk kebiasaan masa lalu atau keadaan yang tidak berlaku lagi sekarang.","Kebiasaan Masa Lalu; Keadaan Masa Lalu","She used to live here.","Although she now works in the tech industry, she used to be a classical musician who performed on major stages across the country.","Gunakan used to untuk menunjukkan perubahan kebiasaan/keadaan dari dulu ke sekarang.","Menggunakan use to (tanpa -d). Menggunakan used to untuk kebiasaan sekarang (She used to live here now)."
